Type,Price,Amount,Balance,BTC
Buy,38189000.0,0.006608932474948164,8837011.284236794,0.03307013922561253
Buy,38189000.0,0.006608932474948164,8584496.504561162,0.03967907170056069
Buy,38102000.0,0.006624022945929228,8331981.724885528,0.04630309464648992
Sell,38460000.0,0.02315154732324496,9221945.030682504,0.02315154732324496
Sell,38427000.0,0.01157577366162248,9666544.874050424,0.01157577366162248
Sell,38450000.0,0.00578788683081124,9888977.850570794,0.00578788683081124
Sell,38650000.0,0.00289394341540562,10000772.83811972,0.00289394341540562
Sell,38695000.0,0.00144697170770281,10056735.413064165,0.00144697170770281
Sell,38754000.0,0.000723485853851405,10084759.364858933,0.000723485853851405
Sell,39065000.0,0.0003617429269257025,10098883.786555566,0.0003617429269257025
Sell,37586000.0,0.00018087146346285125,10105678.622263867,0.00018087146346285125
Sell,37676000.0,9.043573173142563e-05,10109084.175264265,9.043573173142563e-05
Sell,37701000.0,4.521786586571281e-05,10110788.081645887,4.521786586571281e-05
Sell,37936000.0,2.2608932932856406e-05,10111645.345279388,2.2608932932856406e-05
Sell,38159000.0,1.1304466466428203e-05,10112076.496731713,1.1304466466428203e-05
Sell,38173000.0,5.652233233214102e-06,10112292.151549576,5.652233233214102e-06
Buy,36545000.0,0.00691438678991787,9859479.47997624,0.006920039023151084
Buy,36545000.0,0.00691438678991787,9606666.808402905,0.013834425813068953
Buy,36545000.0,0.00691438678991787,9353854.13682957,0.020748812602986822
Buy,36545000.0,0.00691438678991787,9101041.465256235,0.02766319939290469
Buy,36545000.0,0.00691438678991787,8848228.7936829,0.03457758618282256
Buy,36545000.0,0.00691438678991787,8595416.122109564,0.04149197297274043
Buy,36545000.0,0.00691438678991787,8342603.450536229,0.0484063597626583
Sell,37423000.0,0.02420317988132915,9247906.17343486,0.02420317988132915
Sell,37436000.0,0.012101589940664575,9700714.776893068,0.012101589940664575
Sell,37255000.0,0.006050794970332288,9926024.432329487,0.006050794970332288
Sell,37313000.0,0.003025397485166144,10038854.645365309,0.003025397485166144
Sell,37491000.0,0.001512698742583072,10095538.877629211,0.001512698742583072
Sell,37519000.0,0.000756349371291536,10123902.160954667,0.000756349371291536
Sell,37752000.0,0.000378174685645768,10138171.8732618,0.000378174685645768
Sell,36414000.0,0.000189087342822884,10145053.857050102,0.000189087342822884
Sell,36515000.0,9.4543671411442e-05,10148504.39308061,9.4543671411442e-05
Buy,36246000.0,0.006998615399095221,9894705.67996845,0.007093159070506663
Sell,36413000.0,0.0035465795352533315,10023782.709785322,0.0035465795352533315
Sell,36457000.0,0.0017732897676266657,10088399.210431159,0.0017732897676266657
Sell,36482000.0,0.0008866448838133329,10120729.61579311,0.0008866448838133329
Sell,36604000.0,0.00044332244190666643,10136948.87676933,0.00044332244190666643
Sell,36645000.0,0.00022166122095333322,10145067.590823444,0.00022166122095333322
Sell,36697000.0,0.00011083061047666661,10149132.70816065,0.00011083061047666661
Sell,36900000.0,5.5415305238333304e-05,10151176.510511562,5.5415305238333304e-05
Sell,36897000.0,2.7707652619166652e-05,10152198.328605622,2.7707652619166652e-05
Buy,36898000.0,0.006875813015823705,9898367.664615763,0.006903520668442871
Sell,36984000.0,0.0034517603342214356,10025963.73886451,0.0034517603342214356
Buy,36513000.0,0.0069481901483649635,9772137.558887271,0.0103999504825864
Buy,36448000.0,0.006960581290804706,9518311.378910033,0.017360531773391107
